title, description, technologies, project_url, image_url
Project1, project description, ruby on rails, some url, some img url
Project2, project description, ruby on rails, some url, some img url
Project3, project description, ruby on rails, some url, some img url
Project4, project description, ruby on rails, some url, some img url
Project5, project description, ruby on rails, some url, some img url
Project6, project description, ruby on rails, some url, some img url
Project7, project description, ruby on rails, some url, some img url
Project8, project description, ruby on rails, some url, some img url
Project9, project description, ruby on rails, some url, some img url
Project10, project description, ruby on rails, some url, some img url




